A0ADemolishStructure	_("Demolish Structure")
R-Sys-Resistance-Upgrade03	_("Nexus Resistance Circuits Mk3")
R-Sys-SensorLock	_("Sensor Lock")
R-Sys-Sensor-SatLink	_("Satellite Uplink Center")
R-Sys-Sensor-Tower01	_("Sensor Tower")
R-Sys-Sensor-Tower02	_("Hardened Sensor Tower")
R-Sys-Sensor-Turret01	_("Sensor Turret")
R-Sys-Sensor-Upgrade01	_("Sensor Upgrade")
R-Sys-Sensor-Upgrade02	_("Sensor Upgrade Mk2")
R-Sys-Sensor-Upgrade03	_("Sensor Upgrade Mk3")
R-Sys-Sensor-UpLink	_("Satellite Uplink Center")
R-Sys-Sensor-WS	_("Wide Spectrum Sensor")
R-Sys-Sensor-WSTower	_("Wide Spectrum Sensor Tower")
R-Sys-Spade1Mk1	_("Construction Unit")
R-Sys-SpyTower	_("Nexus Link Tower")
R-Sys-SpyTurret	_("Nexus Link Turret")
R-Sys-SpyTurret-Upgrade01	_("Improved Scrambler")
R-Sys-SpyTurret-Upgrade02	_("Scrambler Turret Mk2")
R-Sys-VTOLCBS-Tower01	_("VTOL CB Tower")
R-Sys-VTOLCBS-Turret01	_("VTOL CB Turret")
R-Sys-VTOLCBS-Upgrade01	_("VTOL CB Upgrade")
R-Sys-VTOLCBS-Upgrade02	_("VTOL CB Upgrade 2")
R-Sys-VTOLCBS-Upgrade03	_("VTOL CB Upgrade 3")
R-Sys-VTOLStrike-Tower01	_("VTOL Strike Tower")
R-Sys-VTOLStrike-Turret01	_("VTOL Strike Turret")
R-Sys-VTOLStrike-Upgrade01	_("VTOL Strike Upgrade")
R-Sys-VTOLStrike-Upgrade02	_("VTOL Strike Upgrade Mk2")
R-Sys-VTOLStrike-Upgrade03	_("VTOL Strike Upgrade Mk3")
Ruin1	"*Ruin1*"
Ruin10	"*Ruin10*"
Ruin3	"*Ruin3*"
Ruin4	"*Ruin4*"
Ruin5	"*Ruin5*"
Ruin6	 "*Ruin6*"
Ruin7	 "*Ruin7*"
Ruin8	 "*Ruin8*"
Ruin9	 "*Ruin9*"
R-Vehicle-Armor-Heat01	_("Thermal Armor")
R-Vehicle-Armor-Heat02	_("Thermal Armor Mk2")
R-Vehicle-Armor-Heat03	_("Thermal Armor Mk3")
R-Vehicle-Armor-Heat04	_("High Intensity Thermal Armor")
R-Vehicle-Armor-Heat05	_("High Intensity Thermal Armor Mk2")
R-Vehicle-Armor-Heat06	_("High Intensity Thermal Armor Mk3")
R-Vehicle-Armor-Heat07	_("Vehicle Superdense Thermal Armor")
R-Vehicle-Armor-Heat08	_("Vehicle Superdense Thermal Armor Mk2")
R-Vehicle-Armor-Heat09	_("Vehicle Superdense Thermal Armor Mk3")
R-Vehicle-Body01	_("Light Body - Viper")
R-Vehicle-Body02	_("Light Body - Leopard")
R-Vehicle-Body03	_("Light Body - Retaliation")
R-Vehicle-Body04	_("Light Body - Bug")
R-Vehicle-Body05	_("Medium Body - Cobra")
R-Vehicle-Body06	_("Medium Body - Panther")
R-Vehicle-Body07	_("Medium Body - Retribution")
R-Vehicle-Body08	_("Medium Body - Scorpion")
R-Vehicle-Body09	_("Heavy Body - Tiger")
R-Vehicle-Body10	_("Heavy Body - Vengeance")
R-Vehicle-Body11	_("Heavy Body - Python")
R-Vehicle-Body12	_("Heavy Body - Mantis")
R-Vehicle-Body13	_("Heavy Body - Wyvern")
R-Vehicle-Body14	_("Multi Turret Body - Dragon")
R-Vehicle-Engine01	_("Fuel Injection Engine")
R-Vehicle-Engine02	_("Fuel Injection Engine Mk2")
R-Vehicle-Engine03	_("Fuel Injection Engine Mk3")
R-Vehicle-Engine04	_("Turbo-Charged Engine")
R-Vehicle-Engine05	_("Turbo-Charged Engine Mk2")
R-Vehicle-Engine06	_("Turbo-Charged Engine Mk3")
R-Vehicle-Engine07	_("Gas Turbine Engine")
R-Vehicle-Engine08	_("Gas Turbine Engine Mk2")
R-Vehicle-Engine09	_("Gas Turbine Engine Mk3")
R-Vehicle-Metals01	_("Composite Alloys")
R-Vehicle-Metals02	_("Composite Alloys Mk2")
R-Vehicle-Metals03	_("Composite Alloys Mk3")
R-Vehicle-Metals04	_("Dense Composite Alloys")
R-Vehicle-Metals05	_("Dense Composite Alloys Mk2")
R-Vehicle-Metals06	_("Dense Composite Alloys Mk3")
R-Vehicle-Metals07	_("Superdense Composite Alloys")
R-Vehicle-Metals08	_("Superdense Composite Alloys Mk2")
R-Vehicle-Metals09	_("Superdense Composite Alloys Mk3")
R-Vehicle-Prop-Halftracks	_("Half-tracked Propulsion")
R-Vehicle-Prop-Halftracks02	_("Half-tracked Propulsion II")
R-Vehicle-Prop-Hover	_("Hover Propulsion")
R-Vehicle-Prop-Hover02	_("Hover Propulsion II")
R-Vehicle-Prop-Tracks	_("Tracked Propulsion")
R-Vehicle-Prop-Tracks02	_("Tracked Propulsion II")
R-Vehicle-Prop-VTOL	_("VTOL Propulsion")
R-Vehicle-Prop-VTOL02	_("VTOL Propulsion II")
R-Vehicle-Prop-Wheels	_("Wheeled Propulsion")
R-Vehicle-Prop-Wheels02	_("Wheeled Propulsion II")
R-Wpn-AAGun01	_("Tornado Flak Turret")
R-Wpn-AAGun02	_("AA Flak Cannon")
R-Wpn-AAGun03	_("Hurricane AA Turret")
R-Wpn-AAGun04	_("Whirlwind AA Turret")
R-Wpn-AAGun-Accuracy01	_("AA Thermal Imaging Sensor")
R-Wpn-AAGun-Accuracy02	_("AA Target Acquisition Shells")
R-Wpn-AAGun-Accuracy03	_("AA Target Prediction Computer")
R-Wpn-AAGun-Damage01	_("AA HE Flak")
R-Wpn-AAGun-Damage02	_("AA HE Flak Mk2")
R-Wpn-AAGun-Damage03	_("AA HE Flak Mk3")
R-Wpn-AAGun-Damage04	_("AA HEAP Flak")
R-Wpn-AAGun-Damage05	_("AA HEAP Flak Mk2")
R-Wpn-AAGun-Damage06	_("AA HEAP Flak Mk3")
R-Wpn-AAGun-ROF01	_("AA Ammunition Hopper")
R-Wpn-AAGun-ROF02	_("AA Ammunition Hopper Mk2")
R-Wpn-AAGun-ROF03	_("AA Ammunition Hopper Mk3")
R-Wpn-AAGun-ROF04	_("AA Chainfeed Loader")
R-Wpn-AAGun-ROF05	_("AA Chainfeed Loader Mk2")
R-Wpn-AAGun-ROF06	_("AA Chainfeed Loader Mk3")
R-Wpn-AALaser	_("Stormbringer AA Laser")
R-Wpn-Bomb01	_("Cluster Bomb Bay")
R-Wpn-Bomb02	_("HEAP Bomb Bay")
R-Wpn-Bomb03	_("Phosphor Bomb Bay")
R-Wpn-Bomb04	_("Thermite Bomb Bay")
R-Wpn-Bomb05	_("Plasmite Bomb")
R-Wpn-Bomb06	_("EMP Missile Launcher")
R-Wpn-Bomb-Accuracy01	_("HE Bomb Shells")
R-Wpn-Bomb-Accuracy02	_("Improved Bomb Warhead")
R-Wpn-Bomb-Accuracy03	_("Advanced Bomb Warhead")
R-Wpn-Cannon1Mk1	_("Light Cannon")
R-Wpn-Cannon2Mk1	_("Medium Cannon")
R-Wpn-Cannon3Mk1	_("Heavy Cannon")
R-Wpn-Cannon4AMk1	_("Hyper Velocity Cannon")
R-Wpn-Cannon5	_("Assault Cannon")
R-Wpn-Cannon6TwinAslt	_("Twin Assault Cannon")
R-Wpn-Cannon-Accuracy01	_("Cannon Laser Rangefinder")
R-Wpn-Cannon-Accuracy02	_("Cannon Laser Designator")
R-Wpn-Cannon-Damage01	_("HEAT Cannon Shells")
R-Wpn-Cannon-Damage02	_("HEAT Cannon Shells Mk2")
R-Wpn-Cannon-Damage03	_("HEAT Cannon Shells Mk3")
R-Wpn-Cannon-Damage04	_("APFSDS Cannon Rounds")
R-Wpn-Cannon-Damage05	_("APFSDS Cannon Rounds Mk2")
R-Wpn-Cannon-Damage06	_("APFSDS Cannon Rounds Mk3")
R-Wpn-Cannon-Damage07	_("HVAPFSDS Cannon Rounds")
R-Wpn-Cannon-Damage08	_("HVAPFSDS Cannon Rounds Mk2")
R-Wpn-Cannon-Damage09	_("HVAPFSDS Cannon Rounds Mk3")
R-Wpn-Cannon-ROF01	_("Cannon Autoloader")
R-Wpn-Cannon-ROF02	_("Cannon Autoloader Mk2")
R-Wpn-Cannon-ROF03	_("Cannon Autoloader Mk3")
R-Wpn-Cannon-ROF04	_("Cannon Rapid Loader")
R-Wpn-Cannon-ROF05	_("Cannon Rapid Loader Mk2")
R-Wpn-Cannon-ROF06	_("Cannon Rapid Loader Mk3")
R-Wpn-EMPCannon	_("EMP Cannon")
R-Wpn-Energy-Accuracy01	_("Improved Laser Focusing")
R-Wpn-Energy-Accuracy02	_("Improved Laser Focusing Mk2")
R-Wpn-Energy-Accuracy03	_("Improved Laser Focusing Mk3")
R-Wpn-Energy-Damage01	_("Hi-Energy Laser Emitter")
R-Wpn-Energy-Damage02	_("Hi-Energy Laser Emitter Mk2")
R-Wpn-Energy-Damage03	_("Hi-Energy Laser Emitter Mk3")
R-Wpn-Energy-ROF01	_("Thermopole Energizer")
R-Wpn-Energy-ROF02	_("Thermopole Energizer Mk2")
R-Wpn-Energy-ROF03	_("Thermopole Energizer Mk3")
R-Wpn-Flame2	_("Heavy Flamer - Inferno")
R-Wpn-Flamer01Mk1	_("Flamer")
R-Wpn-Flamer-Damage01	_("High Temperature Flamer Gel")
R-Wpn-Flamer-Damage02	_("High Temperature Flamer Gel Mk2")
R-Wpn-Flamer-Damage03	_("High Temperature Flamer Gel Mk3")
R-Wpn-Flamer-Damage04	_("Superhot Flamer Gel")
R-Wpn-Flamer-Damage05	_("Superhot Flamer Gel Mk2")
R-Wpn-Flamer-Damage06	_("Superhot Flamer Gel Mk3")
R-Wpn-Flamer-Damage07	_("Superhot Plasmite gel")
R-Wpn-Flamer-Damage08	_("Superhot Plasmite gel Mk2")
R-Wpn-Flamer-Damage09	_("Superhot Plasmite gel Mk3")
R-Wpn-Flamer-ROF01	_("Flamer Autoloader")
R-Wpn-Flamer-ROF02	_("Flamer Autoloader Mk2")
R-Wpn-Flamer-ROF03	_("Flamer Autoloader Mk3")
R-Wpn-Howitzer03-Rot	_("Rotary Howitzer - Hellstorm")
R-Wpn-Howitzer-Accuracy01	_("Target Acquisition Artillery Shells")
R-Wpn-Howitzer-Accuracy02	_("Target Acquisition Artillery Shells Mk2")
R-Wpn-Howitzer-Accuracy03	_("Target Prediction Artillery Shells")
R-Wpn-Howitzer-Damage01	_("HE Howitzer Shells")
R-Wpn-Howitzer-Damage02	_("HE Howitzer Shells Mk2")
R-Wpn-Howitzer-Damage03	_("HE Howitzer Shells Mk3")
R-Wpn-Howitzer-Damage04	_("HEAP Howitzer Shells")
R-Wpn-Howitzer-Damage05	_("HEAP Howitzer Shells Mk2")
R-Wpn-Howitzer-Damage06	_("HEAP Howitzer Shells Mk3")
R-Wpn-Howitzer-Incenediary	_("Incendiary Howitzer")
R-Wpn-HowitzerMk1	_("Howitzer")
R-Wpn-Howitzer-ROF01	_("Howitzer Autoloader")
R-Wpn-Howitzer-ROF02	_("Howitzer Autoloader Mk2")
R-Wpn-Howitzer-ROF03	_("Howitzer Autoloader Mk3")
R-Wpn-Howitzer-ROF04	_("Howitzer Fast Loader")
R-Wpn-HvArtMissile 	_("Archangel Missile")
R-Wpn-HvyHowitzer	_("Heavy Howitzer - Ground Shaker")
R-Wpn-HvyLaser	_("Heavy Laser")
R-Wpn-Laser01	_("Laser - Flashlight")
R-Wpn-Laser02	_("Pulse Laser")
R-Wpn-LasSat	_("Laser Satellite Command Post")
R-Wpn-MdArtMissile 	_("Seraph Missile Array")
R-Wpn-MG1Mk1	_("Machinegun")
R-Wpn-MG2Mk1	_("Twin Machinegun")
R-Wpn-MG3Mk1	_("Heavy Machinegun")
R-Wpn-MG4	_("Assault Gun")
R-Wpn-MG5	_("Twin Assault Gun")
R-Wpn-MG-Damage01	_("Hardened MG Bullets")
R-Wpn-MG-Damage02	_("APDSB MG Bullets")
R-Wpn-MG-Damage03	_("APDSB MG Bullets Mk2")
R-Wpn-MG-Damage04	_("APDSB MG Bullets Mk3")
R-Wpn-MG-Damage05	_("Tungsten-Tipped MG Bullets")
R-Wpn-MG-Damage06	_("Tungsten-Tipped MG Bullets Mk2")
R-Wpn-MG-Damage07	_("Tungsten-Tipped MG Bullets Mk3")
R-Wpn-MG-Damage08	_("Depleted Uranium MG Bullets")
R-Wpn-MG-Damage09	_("Depleted Uranium MG Bullets Mk2")
R-Wpn-MG-ROF01	_("Chaingun Upgrade")
R-Wpn-MG-ROF02	_("Rapid Fire Chaingun")
R-Wpn-MG-ROF03	_("Hyper Fire Chaingun Upgrade")
R-Wpn-Missile2A-T	_("Scourge Missile")
R-Wpn-Missile-Accuracy01	_("Target Prediction Missiles")
R-Wpn-Missile-Accuracy02	_("Search & Destroy Missiles")
R-Wpn-Missile-Damage01	_("Advanced Missile Warhead")
R-Wpn-Missile-Damage02	_("Advanced Missile Warhead Mk2")
R-Wpn-Missile-Damage03	_("Advanced Missile Warhead Mk3")
R-Wpn-Missile-HvSAM 	_("Vindicator SAM")
R-Wpn-Missile-LtSAM	_("Avenger SAM")
R-Wpn-Missile-ROF01	_("Advanced Missile Allocation System")
R-Wpn-Missile-ROF02	_("Advanced Missile Allocation System Mk2")
R-Wpn-Missile-ROF03	_("Advanced Missile Allocation System Mk3")
R-Wpn-MissileSlow-Damage01	_("HEAP Missile Warhead")
R-Wpn-MissileSlow-Damage02	_("HEAP Missile Warhead Mk2")
R-Wpn-MissileSlow-Damage03	_("HEAP Missile Warhead Mk3")
R-Wpn-MissileSlow-ROF01	_("Improved Missile Loading System")
R-Wpn-Mortar01Lt	_("Mortar")
R-Wpn-Mortar02Hvy	_("Heavy Mortar - Bombard")
R-Wpn-Mortar3	_("Rotary Mortar - Pepperpot")
R-Wpn-Mortar-Acc01	_("Mortar Targeting Computer")
R-Wpn-Mortar-Acc02	_("Thermal Imaging Mortar Shells")
R-Wpn-Mortar-Acc03	_("Target Acquisition Mortar Shells")
R-Wpn-Mortar-Damage01	_("HE Mortar Shells")
R-Wpn-Mortar-Damage02	_("HE Mortar Shells Mk2")
R-Wpn-Mortar-Damage03	_("HE Mortar Shells Mk3")
R-Wpn-Mortar-Damage04	_("HEAP Mortar Shells")
R-Wpn-Mortar-Damage05	_("HEAP Mortar Shells Mk2")
R-Wpn-Mortar-Damage06	_("HEAP Mortar Shells Mk3")
R-Wpn-MortarEMP	_("EMP Mortar")
R-Wpn-Mortar-Incenediary	_("Incendiary Mortar")
R-Wpn-Mortar-ROF01	_("Mortar Autoloader")
R-Wpn-Mortar-ROF02	_("Mortar Autoloader Mk2")
R-Wpn-Mortar-ROF03	_("Mortar Autoloader Mk3")
R-Wpn-Mortar-ROF04	_("Mortar Fast Loader")
R-Wpn-PlasmaCannon	_("Plasma Cannon")
R-Wpn-Plasmite-Flamer	_("Plasmite Flamer")
R-Wpn-Rail-Accuracy01	_("Rail Target Prediction Computer")
R-Wpn-Rail-Damage01	_("Hardened Rail Dart")
R-Wpn-Rail-Damage02	_("Hardened Rail Dart Mk2")
R-Wpn-Rail-Damage03	_("Hardened Rail Dart Mk3")
R-Wpn-RailGun01	_("Needle Gun")
R-Wpn-RailGun02	_("Rail Gun")
R-Wpn-RailGun03	_("Gauss Cannon")
R-Wpn-Rail-ROF01	_("Rail Gun ROF")
R-Wpn-Rail-ROF02	_("Rail Gun ROF Mk2")
R-Wpn-Rail-ROF03	_("Rail Gun ROF Mk3")
R-Wpn-Rocket01-LtAT	_("Lancer AT Rocket")
R-Wpn-Rocket02-MRL	_("Mini-Rocket Array")
R-Wpn-Rocket03-HvAT	_("Bunker Buster Rocket")
R-Wpn-Rocket05-MiniPod	_("Mini-Rocket Pod")
R-Wpn-Rocket06-IDF	_("Ripple Rockets")
R-Wpn-Rocket07-Tank-Killer	_("Tank Killer Rocket")
R-Wpn-Rocket-Accuracy01	_("Stabilized Rockets")
R-Wpn-Rocket-Accuracy02	_("Improved Rocket Wire Guidance")
R-Wpn-Rocket-Damage01	_("HE Rockets")
R-Wpn-Rocket-Damage02	_("HE Rockets Mk2")
R-Wpn-Rocket-Damage03	_("HE Rockets Mk3")
R-Wpn-Rocket-Damage04	_("HEAT Rocket Warhead")
R-Wpn-Rocket-Damage05	_("HEAT Rocket Warhead Mk2")
R-Wpn-Rocket-Damage06	_("HEAT Rocket Warhead Mk3")
R-Wpn-Rocket-Damage07	_("HESH Rocket Warhead")
R-Wpn-Rocket-Damage08	_("HESH Rocket Warhead Mk2")
R-Wpn-Rocket-Damage09	_("HESH Rocket Warhead Mk3")
R-Wpn-Rocket-ROF01	_("Rocket Autoloader")
R-Wpn-Rocket-ROF02	_("Rocket Autoloader Mk2")
R-Wpn-Rocket-ROF03	_("Rocket Autoloader Mk3")
R-Wpn-Rocket-ROF04	_("Rapid Fire Mini-Rockets")
R-Wpn-Rocket-ROF05	_("Rapid Fire Mini-Rockets Mk2")
R-Wpn-Rocket-ROF06	_("Rapid Fire Mini-Rockets Mk3")
R-Wpn-RocketSlow-Accuracy01	_("Rocket Laser Designator")
R-Wpn-RocketSlow-Accuracy02	_("Thermal Imaging Rockets")
R-Wpn-RocketSlow-Accuracy03	"*NOT USED*"
R-Wpn-RocketSlow-Damage01	"*NOT USED*"
R-Wpn-RocketSlow-Damage02	"*NOT USED*"
R-Wpn-RocketSlow-Damage03	"*NOT USED*"
R-Wpn-RocketSlow-Damage04	"*NOT USED*"
R-Wpn-RocketSlow-Damage05	"*NOT USED*"
R-Wpn-RocketSlow-Damage06	"*NOT USED*"
R-Wpn-RocketSlow-ROF01	"*NOT USED*"
R-Wpn-RocketSlow-ROF02	"*NOT USED*"
R-Wpn-RocketSlow-ROF03	"*NOT USED*"
R-Wpn-Sunburst	_("Sunburst AA Rocket Array")
R-Wpn-TUTMG	_("Machinegun Artifact")
ScavCamperBody	"scavengercamper"
ScavCamperBody-BabaPitRocket	"ScavCamperBody-BabaPitRocket"
ScavCamperBody-BusCannon	"ScavCamperBody-BusCannon"
ScavengerChopper	"scavengechopper"
ScavengerHelicopter	"ScavengerHelicopter"
ScavengerHelicopter2	"2ScavengerHelicopter"
ScavIcevanBody	"scavengericevan"
ScavIcevanBody-BabaFlame	"ScavIcevanBody-BabaFlame"
ScavIcevanBody-Mortar1Mk1	"ScavIcevanBody-Mortar1Mk1"
ScavNEXUSbody	"scavengernexustank"
ScavNEXUStrack	"scavengernexustrack"
ScavNEXUStrack-ScavNEXUSlink	"ScavNEXUStrack-ScavNEXUSlink"
ScavRepairCentre	"Scavenger Repair Center"
ScavSensor	"ScavSensor"
ScavTruckBody	"scavengertruck"
ScavTruckBody-BabaFlame	"ScavTruckBody-BabaFlame"
ScavTruckBody-BusCannon	"ScavTruckBody-BusCannon"
ScorpBBTracks	_("Bunker Buster Scorpion Tracks")
ScorpHeatBBTracks	"Bunker Buster Thermal Scorpion Tracks"
Scorp-Heat-Helicopter-HvyMG	"Thermal Scorpion Helicopter HMG"
Scorp-Heat-Helicopter-MRL	"Thermal Scorpion Helicopter Mini Rocket Array"
ScorpHeatHoverTruck	"Truck Thermal Scorpion Hover"
ScorpHeatHRepairHover	"Heavy Repair Thermal Scorpion Hover"
ScorpHeatHTrackHMG	"Heavy Machinegun Thermal Scorpion Half Tracks"
ScorpHeatRepairTrk	"Repair Thermal Scorpion Tracks"
Scorp-Heat-Trk-Com	"Command Turret Thermal Scorpion Tracks"
ScorpHeatTrkHMG	"Heavy Machinegun Thermal Scorpion Tracks"
Scorp-Heat-Trk-Mortar-Incenediary	"Incendiary Mortar Thermal Scorpion Tracks"
Scorp-Helicopter-HvyMG	"Scorpion Helicopter HMG"
Scorp-Helicopter-MRL	"Scorpion Helicopter Mini Rocket Array"
ScorpHoverTruck	_("Truck Scorpion Hover")
ScorpHRepairHover	_("Heavy Repair Scorpion Hover")
ScorpHTrackHMG	_("Heavy Machinegun Scorpion Half Tracks")
ScorpionBBHalfTracks	"Bunker Buster Scorpion Half-tracks"
ScorpionHeatBBHalfTracks	"Bunker Buster Thermal Scorpion Half-tracks"
Scorpion-Heat-Helicopter-Phosphor	"Thermal Scorpion Helicopter Phosphor"
Scorpion-Heat-Helicopter-Thermite	"Thermal Scorpion Helicopter Thermite"
ScorpionHeatHvyMortarHalftrack	"Bombard Thermal Scorpion Half-tracks"
Scorpion-Helicopter-Phosphor	"Scorpion Helicopter Phosphor"
Scorpion-Helicopter-Thermite	"Scorpion Helicopter Thermite"
ScorpionHvyMortarHalftrack	"Bombard Scorpion Half-tracks"
ScorpRepairTrk	_("Repair Scorpion Tracks")
Scorp-Trk-Com	_("Command Turret Scorpion Tracks")
ScorpTrkHMG	_("Heavy Machinegun Scorpion Tracks")
Scorp-Trk-Mortar-Incenediary	"Incendiary Mortar Scorpion Tracks"
Scourge-Mantis-H	_("Scourge Mantis Hover")
Scourge-Mantis-Heat-H	"Scourge Thermal Mantis Hover"
SensorTower1Mk1	_("Sensor Tower")
SensorTower2Mk1	_("Hardened Sensor Tower")
SensorTurret1Mk1	_("Sensor Turret")
Sensor-WideSpec	_("Wide Spectrum Sensor")
SK-Bug-Heat-Hover-CBSensor	"*SK-Bug-Heat-Hover-CBSensor*"
SK-Bug-Heat-Hover-HMG	"*SK-Bug-Heat-Hover-HMG*"
SK-Bug-Heat-Hover-Repair	"*SK-Bug-Heat-Hover-Repair*"
SK-Bug-Heat-Hover-Sensor	"*SK-Bug-Heat-Hover-Sensor*"
SK-Bug-Heat-Hover-Truck	"*SK-Bug-Heat-Hover-Truck*"
SK-Bug-Heat-Hover-VTOLStrike	"*SK-Bug-Heat-Hover-VTOLStrike*"
SK-Bug-Hover-CBSensor	"*SK-Bug-Hover-CBSensor*"
SK-Bug-Hover-HMG	"*SK-Bug-Hover-HMG*"
SK-Bug-Hover-Repair	"*SK-Bug-Hover-Repair*"
SK-Bug-Hover-Sensor	"*SK-Bug-Hover-Sensor*"
SK-Bug-Hover-Truck	"*SK-Bug-Hover-Truck*"
SK-Bug-Hover-VTOLStrike	"*SK-Bug-Hover-VTOLStrike*"
SK-Bug-VTOL-BB	"*SK-Bug-VTOL-BB*"
SK-Bug-VTOL-CLBomb	"*SK-Bug-VTOL-CLBomb*"
Sk-CobraBBHover	_("Bunker Buster Cobra Hover")
SK-Cobra-HalfTrack-HVC	"*SK-Cobra-HalfTrack-HVC*"
SK-Cobra-Hover-BB	"*SK-Cobra-Hover-BB*"
SK-Cobra-Hover-HMG	"*SK-Cobra-Hover-HMG*"
SK-Cobra-Hover-Lancer	"*SK-Cobra-Hover-Lancer*"
SK-Cobra-Track-HVC	"*SK-Cobra-Track-HVC*"
SK-Cobra-Track-TK	"*SK-Cobra-Track-TK*"
SK-HCobra-HalfTrack-HVC	"*SK-HCobra-HalfTrack-HVC*"
SK-HCobra-Hover-BB	"*SK-HCobra-Hover-BB*"
SK-HCobra-Hover-HMG	"*SK-HCobra-Hover-HMG*"
SK-HCobra-Hover-Lancer	"*SK-HCobra-Hover-Lancer*"
SK-HCobra-Track-HVC	"*SK-HCobra-Track-HVC*"
SK-HCobra-Track-TK	"*SK-HCobra-Track-TK*"
SK-HPython-Hover-Hcannon	"*SK-HPython-Hover-Hcannon*"
SK-HPython-Hover-Lancer	"*SK-HPython-Hover-Lancer*"
SK-HPython-Track-Hcannon	"*SK-HPython-Track-Hcannon*"
SK-HvyPython-Track-Hcannon	"*SK-HvyPython-Track-Hcannon*"
SK-Leopard-Hover-CBSensor	"*SK-Leopard-Hover-CBSensor*"
SK-Leopard-Hover-HRepair	"*SK-Leopard-Hover-HRepair*"
SK-Leopard-Hover-Needle	"*SK-Leopard-Hover-Needle*"
SK-Leopard-Hover-Repair	"*SK-Leopard-Hover-Repair*"
SK-Leopard-Hover-Sensor	"*SK-Leopard-Hover-Sensor*"
SK-Leopard-HTrk-ASGun	"*SK-Leopard-HTrk-ASGun*"
SK-Leopard-Htrk-Needle	"*SK-Leopard-Htrk-Needle*"
SK-Leopard-Sup-Hover-CBSensor	"*SK-Leopard-Sup-Hover-CBSensor*"
SK-Leopard-Sup-Hover-Hrepair	"*SK-Leopard-Sup-Hover-Hrepair*"
SK-Leopard-Sup-Hover-Needle	"*SK-Leopard-Sup-Hover-Needle*"
SK-Leopard-Sup-Hover-Repair	"*SK-Leopard-Sup-Hover-Repair*"
SK-Leopard-Sup-Hover-Sensor	"*SK-Leopard-Sup-Hover-Sensor*"
SK-Leopard-Sup-HTrk-ASGun	"*SK-Leopard-Sup-HTrk-ASGun*"
SK-Leopard-Sup-Htrk-Needle	"*SK-Leopard-Sup-Htrk-Needle*"
SK-Leopard-Sup-Track-Lancer	"*SK-Leopard-Sup-Track-Lancer*"
SK-Leopard-Sup-VTOL-BB	"*SK-Leopard-Sup-VTOL-BB*"
SK-Leopard-Sup-VTOL-Cluster	"*SK-Leopard-Sup-VTOL-Cluster*"
SK-Leopard-Sup-VTOL-HEAP	"*SK-Leopard-Sup-VTOL-HEAP*"
SK-Leopard-Sup-VTOL-PhosBomb	"*SK-Leopard-Sup-VTOL-PhosBomb*"
SK-Leopard-Track-Lancer	"*SK-Leopard-Track-Lancer*"
SK-Leopard-VTOL-BB	"*SK-Leopard-VTOL-BB*"
SK-Leopard-VTOL-Cluster	"*SK-Leopard-VTOL-Cluster*"
SK-Leopard-VTOL-HEAP	"*SK-Leopard-VTOL-HEAP*"
SK-Leopard-VTOL-PhosBomb	"*SK-Leopard-VTOL-PhosBomb*"
SK-Mantis-Heat-Hover-Hcannon	"*SK-Mantis-Heat-Hover-Hcannon*"
SK-Mantis-Heat-Hover-HVC	"*SK-Mantis-Heat-Hover-HVC*"
SK-Mantis-Heat-VTOL-BB	"*SK-Mantis-Heat-VTOL-BB*"
SK-Mantis-Heat-VTOL-HBB	"Heap Bomb Bay Thermal Mantis VTOL"
SK-Mantis-Heat-VTOL-PBB	"Phosphor Bomb Bay Thermal Mantis VTOL"
SK-Mantis-Hover-Hcannon	"*SK-Mantis-Hover-Hcannon*"
SK-Mantis-Hover-HVC	"*SK-Mantis-Hover-HVC*"
SK-Mantis-VTOL-BB	"*SK-Mantis-VTOL-BB*"
SK-Mantis-VTOL-HBB	_("Heap Bomb Bay Mantis VTOL")
SK-Mantis-VTOL-PBB	_("Phosphor Bomb Bay Mantis VTOL")
SK-Panther-Hover-HVC	"*SK-Panther-Hover-HVC*"
SK-Panther-Hover-TK	"*SK-Panther-Hover-TK*"
SK-Panther-Htrk-ASGun	"*SK-Panther-Htrk-ASGun*"
SK-Panther-Htrk-BB	"*SK-Panther-Htrk-BB*"
SK-Panther-Sup-Hover-HVC	"*SK-Panther-Sup-Hover-HVC*"
SK-Panther-Sup-Hover-TK	"*SK-Panther-Sup-Hover-TK*"
SK-Panther-Sup-Htrk-ASGun	"*SK-Panther-Sup-Htrk-ASGun*"
SK-Panther-Sup-Htrk-BB	"*SK-Panther-Sup-Htrk-BB*"
SK-Panther-Sup-Track-HVC	"*SK-Panther-Sup-Track-HVC*"
SK-Panther-Sup-Track-RailGun	"*SK-Panther-Sup-Track-RailGun*"
SK-Panther-Sup-Track-Repair	"*SK-Panther-Sup-Track-Repair*"
SK-Panther-Sup-Track-TK	"*SK-Panther-Sup-Track-TK*"
SK-Panther-Sup-VTOL-BB	"*SK-Panther-Sup-VTOL-BB*"
SK-Panther-Sup-VTOL-HEAP	"*SK-Panther-Sup-VTOL-HEAP*"
SK-Panther-Sup-VTOL-Phosbomb	"*SK-Panther-Sup-VTOL-Phosbomb*"
SK-Panther-Sup-VTOL-Thermite	"*SK-Panther-Sup-VTOL-Thermite*"
SK-Panther-Sup-VTOL-TK	"*SK-Panther-Sup-VTOL-TK*"
SK-Panther-Track-HVC	"*SK-Panther-Track-HVC*"
SK-Panther-Track-RailGun	"*SK-Panther-Track-RailGun*"
